season_year,player_name,nationality,team_name,apps,assists,penalties,goals
2006,Cristiano Ronaldo,Portugal,Manchester United,11,5,0,3
2006,Steven Gerrard,Inglaterra,Liverpool FC,10,3,0,3
2006,Andriy Shevchenko,Ucrania,Chelsea FC,10,2,0,3
2006,Lisandro López,Argentina / Italia,FC Oporto,8,2,0,3
2006,Marcus Allbäck,Suecia,FC Copenhague,5,1,0,3
2006,Rafael van der Vaart,Países Bajos / España,Hamburgo SV,3,1,0,3
2006,Julio Cruz,Argentina / España,Inter de Milán,4,1,0,3
2006,Nery Castillo,México / Uruguay,Olympiacos El Pireo,5,1,0,3
2006,Lucho González,Argentina,FC Oporto,8,1,1,3
2006,Eidur Gudjohnsen,Islandia,FC Barcelona,8,0,0,3
2006,Kenny Miller,Escocia,Celtic FC,8,0,1,3
2006,Luis García,España,Liverpool FC,5,0,0,3
2007,Cristiano Ronaldo,Portugal,Manchester United,11,2,1,8
2007,Steven Gerrard,Inglaterra,Liverpool FC,12,4,2,6
2007,Lionel Messi,Argentina / España,FC Barcelona,9,2,1,6
2007,Didier Drogba,Costa de Marfil / Francia,Chelsea FC,11,1,0,6
2007,Fernando Torres,España,Liverpool FC,10,0,0,6
2007,Frédéric Kanouté,Malí / Francia,Sevilla FC,8,3,1,5
2007,Raúl,España,Real Madrid CF,8,2,0,5
2007,Dirk Kuyt,Países Bajos,Liverpool FC,11,1,0,5
2007,Ryan Babel,Países Bajos / Surinam,Liverpool FC,11,1,0,5
2007,Zlatan Ibrahimović,Suecia / Bosnia y Herzegovina,Inter de Milán,7,0,1,5
2007,Deivid,Brasil / Portugal,Fenerbahce,9,0,0,5
2007,Ruud van Nistelrooy,Países Bajos,Real Madrid CF,7,4,0,4
2007,Robinho,Brasil / España,Real Madrid CF,6,4,0,4
2007,Frank Lampard,Inglaterra,Chelsea FC,11,2,1,4
2007,Cesc Fàbregas,España,Arsenal FC,8,2,0,4
2007,Luís Fabiano,Brasil / España,Sevilla FC,8,2,0,4
2007,Wayne Rooney,Inglaterra,Manchester United,11,1,0,4
