season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
2001,Roberto Bonano,FC Barcelona,Argentina / Italia,13,4,13,90
2001,César Sánchez,Real Madrid CF,España,9,3,8,99
2001,Mickaël Landreau,FC Nantes,Francia,11,3,12,83
2001,Stefan Wessels,Bayern Múnich,Alemania,2,2,0,0
2001,Pepe Reina,FC Barcelona,España,4,2,4,69
2001,Paulo Santos,FC Oporto,Portugal,5,2,4,113
2001,Sergey Ovchinnikov,FC Oporto,Rusia,5,2,5,90
2001,Jens Lehmann,Borussia Dortmund,Alemania,6,2,7,77
2001,Rab Douglas,Celtic FC,Escocia,6,2,11,49
2001,Ricardo,Boavista FC,Portugal,12,2,15,72
2001,Hans Jörg Butt,Bayer 04 Leverkusen,Alemania,17,2,28,55
2001,Miki,RCD Mallorca,España,1,1,0,0
2001,Ivica Kralj,PSV Eindhoven,Serbia / Montenegro,1,1,0,0
2001,Stuart Taylor,Arsenal FC,Inglaterra,2,1,1,135
2001,Chris Kirkland,Liverpool FC,Inglaterra,2,1,1,180
2002,Dida,AC Milan,Brasil,12,8,5,216
2002,Francesco Toldo,Inter de Milán,Italia,16,6,19,76
2002,David Seaman,Arsenal FC,Inglaterra,9,5,6,128
2002,Francesco Antonioli,AS Roma,Italia,9,5,9,90
2002,Gianluigi Buffon,Juventus de Turín,Italia,15,5,16,84
2002,Roberto Bonano,FC Barcelona,Argentina / Italia,8,4,5,144
2002,Santiago Cañizares,Valencia CF,España,12,4,12,88
2002,Andrés Palop,Valencia CF,España,3,3,0,0
2002,Vitaliy Reva,FC Dinamo de Kiev,Ucrania,6,3,9,60
2002,Fabien Barthez,Manchester United,Francia,10,3,12,73
2002,Pascal Zuberbühler,FC Basilea,Suiza,12,3,22,49
2002,Iker Casillas,Real Madrid CF,España,15,3,21,64
2002,Joey Didulica,Ajax de Ámsterdam,Croacia / Australia,4,2,3,120
2002,Víctor Valdés,FC Barcelona,España,4,2,3,120
2002,Edwin Zoetebier,Feyenoord,Países Bajos,5,2,4,101
2002,Ronald Waterreus,PSV Eindhoven,Países Bajos,5,2,8,56
2002,Jan Moons,KRC Genk,Bélgica,5,2,8,46
2002,Bogdan Lobonț,Ajax de Ámsterdam,Rumania,6,2,6,90
2002,Dany Verlinden,Club Brujas KV,Bélgica,6,2,7,77
2002,Fabien Cool,AJ Auxerre,Francia,6,2,7,77
2002,Dionysis Chiotis,AEK Atenas FC,Grecia,6,2,7,77
2002,Faryd Mondragón,Galatasaray,Colombia / Líbano,6,2,10,54
